学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_dig,C_per,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,1320013,情報リテラシ実習,28,0.0,0.0,24.0,85.7,2.0,7.1,1.0,3.6,1.0,3.6,24.0,85.7
秋学期,1320023,情報リテラシ実習,26,3.0,11.5,21.0,80.8,2.0,7.7,0.0,0.0,0.0,0.0,24.0,92.3
秋学期,1320033,情報リテラシ実習,27,0.0,0.0,27.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,100.0
秋学期,1320043,情報リテラシ実習,26,0.0,0.0,26.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,100.0
秋学期,GA10101,情報社会と法制度,242,33.0,13.6,58.0,24.0,68.0,28.1,68.0,28.1,15.0,6.2,91.0,37.6
秋学期,GA10201,知的財産概論,175,11.0,6.3,51.0,29.1,65.0,37.1,38.0,21.7,10.0,5.7,62.0,35.4
春学期,GE10101,知識情報概論,125,5.0,4.0,23.0,18.4,47.0,37.6,44.0,35.2,6.0,4.8,28.0,22.4
秋学期,GE10201,哲学,116,12.0,10.3,43.0,37.1,24.0,20.7,19.0,16.4,18.0,15.5,55.0,47.4
春学期,GE10301,情報基礎,122,20.0,16.4,38.0,31.1,45.0,36.9,15.0,12.3,4.0,3.3,58.0,47.5
春学期,GE10413,情報基礎実習-1,61,3.0,4.9,17.0,27.9,23.0,37.7,14.0,23.0,4.0,6.6,20.0,32.8
春学期,GE10423,情報基礎実習-2,67,1.0,1.5,28.0,41.8,26.0,38.8,8.0,11.9,4.0,6.0,29.0,43.3
秋学期,GE10612,プログラミング演習I-1,57,2.0,3.5,34.0,59.6,9.0,15.8,6.0,10.5,6.0,10.5,36.0,63.2
秋学期,GE10622,プログラミング演習I-2,65,2.0,3.1,34.0,52.3,13.0,20.0,11.0,16.9,5.0,7.7,36.0,55.4
秋学期,GE10712,プログラミング演習II-1,51,6.0,11.8,3.0,5.9,19.0,37.3,9.0,17.6,14.0,27.5,9.0,17.6
秋学期,GE10722,プログラミング演習II-2,75,8.0,10.7,6.0,8.0,25.0,33.3,17.0,22.7,19.0,25.3,14.0,18.7
春学期,GE10732,プログラミング演習II-3,10,0.0,0.0,3.0,30.0,3.0,30.0,2.0,20.0,2.0,20.0,3.0,30.0
春学期,GE10801,情報数学,148,22.0,14.9,56.0,37.8,38.0,25.7,29.0,19.6,3.0,2.0,78.0,52.7
秋学期,GE10911,統計,141,12.0,8.5,23.0,16.3,24.0,17.0,55.0,39.0,27.0,19.1,35.0,24.8
春学期,GE11012,知識情報演習I-1,69,1.0,1.4,19.0,27.5,42.0,60.9,2.0,2.9,5.0,7.2,20.0,29.0
春学期,GE11022,知識情報演習I-2,57,1.0,1.8,16.0,28.1,35.0,61.4,1.0,1.8,4.0,7.0,17.0,29.8
秋学期,GE11112,知識情報演習II-1,73,0.0,0.0,23.0,31.5,39.0,53.4,6.0,8.2,5.0,6.8,23.0,31.5
秋学期,GE11122,知識情報演習II-2,60,6.0,10.0,21.0,35.0,14.0,23.3,14.0,23.3,5.0,8.3,27.0,45.0
秋学期,GE11212,知識情報演習III-1,75,5.0,6.7,22.0,29.3,28.0,37.3,16.0,21.3,4.0,5.3,27.0,36.0
