学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_per,C_dig,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,1320013,情報リテラシ実習,30,3,10.0,20,66.7,5,16.7,0,0.0,2,6.7,23,76.7
秋学期,1320023,情報リテラシ実習,27,9,33.3,16,59.3,0,0.0,1,3.7,1,3.7,25,92.6
秋学期,1320033,情報リテラシ実習,26,7,26.9,19,73.1,0,0.0,0,0.0,0,0.0,26,100.0
秋学期,1320043,情報リテラシ実習,26,8,30.8,16,61.5,2,7.7,0,0.0,0,0.0,24,92.3
秋学期,GA10101,情報社会と法制度,231,21,9.1,94,40.7,67,29.0,30,13.0,19,8.2,115,49.8
秋学期,GA10201,知的財産概論,141,2,1.4,29,20.6,59,41.8,40,28.4,11,7.8,31,22.0
春学期,GE10101,知識情報概論,128,7,5.5,23,18.0,49,38.3,37,28.9,12,9.4,30,23.4
秋学期,GE10201,哲学,127,17,13.4,39,30.7,37,29.1,20,15.7,14,11.0,56,44.1
春学期,GE10301,情報基礎,126,16,12.7,45,35.7,48,38.1,16,12.7,1,0.8,61,48.4
春学期,GE10413,情報基礎実習-1,67,5,7.5,16,23.9,23,34.3,20,29.9,3,4.5,21,31.3
春学期,GE10423,情報基礎実習-2,64,5,7.8,14,21.9,29,45.3,13,20.3,3,4.7,19,29.7
秋学期,GE10612,プログラミング演習I-1,61,8,13.1,23,37.7,15,24.6,12,19.7,3,4.9,31,50.8
秋学期,GE10622,プログラミング演習I-2,56,6,10.7,14,25.0,19,33.9,17,30.4,0,0.0,20,35.7
秋学期,GE10712,プログラミング演習II-1,61,9,14.8,9,14.8,16,26.2,17,27.9,10,16.4,18,29.5
秋学期,GE10722,プログラミング演習II-2,59,1,1.7,16,27.1,17,28.8,17,28.8,8,13.6,17,28.8
春学期,GE10732,プログラミング演習II-3,7,0,0.0,2,28.6,3,42.9,2,28.6,0,0.0,2,28.6
春学期,GE10801,情報数学,117,31,26.5,36,30.8,43,36.8,5,4.3,2,1.7,67,57.3
秋学期,GE10911,統計,140,10,7.1,45,32.1,36,25.7,33,23.6,16,11.4,55,39.3
春学期,GE11012,知識情報演習I-1,64,7,10.9,32,50.0,19,29.7,4,6.3,2,3.1,39,60.9
春学期,GE11022,知識情報演習I-2,68,5,7.4,37,54.4,19,27.9,3,4.4,4,5.9,42,61.8
秋学期,GE11112,知識情報演習II-1,60,0,0.0,20,33.3,29,48.3,9,15.0,2,3.3,20,33.3
