学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_dig,C_per,D_dig,D_per,A+_A_dig,A+_A_per,
秋学期,GA10101,情報社会と法制度,257,141,54.9,68,26.5,27,10.5,10,3.9,11,4.3,209,81.3,
秋学期,GA10201,知的財産概論,77,0,0.0,16,20.8,18,23.4,28,36.4,15,19.5,16,20.8,
春学期,GA14111,知識情報概論,253,16,6.3,71,28.1,94,37.2,51,20.2,21,8.3,87,34.4,
秋学期,GA14121,知識情報概論,115,19,16.5,14,12.2,49,42.6,21,18.3,12,10.4,33,28.7,
春学期,GA14201,知識情報システム概説,295,27,9.2,101,34.2,83,28.1,58,19.7,26,8.8,128,43.4,
秋学期,GA14301,図書館概論,293,13,4.4,110,37.5,126,43.0,31,10.6,13,4.4,123,42.0,
春学期,GA15141,情報数学A,94,3,3.2,25,26.6,51,54.3,14,14.9,1,1.1,28,29.8,
春学期,GA15241,線形代数A,30,1,3.3,2,6.7,2,6.7,2,6.7,23,76.7,3,10.0,
秋学期,GA15341,微分積分A,44,7,15.9,16,36.4,7,15.9,7,15.9,7,15.9,23,52.3,
秋学期,GA18132,プログラミング入門,49,9,18.4,26,53.1,8,16.3,3,6.1,3,6.1,35,71.4,
秋学期,GA18142,プログラミング入門,49,8,16.3,29,59.2,10,20.4,2,4.1,0,0.0,37,75.5,
春学期,GA40303,ビジネスシステムデザインA,12,0,0.0,12,100.0,0,0.0,0,0.0,0,0.0,12,100.0,
秋学期,GA40403,ビジネスシステムデザインB,11,2,18.2,7,63.6,0,0.0,0,0.0,2,18.2,9,81.8,
秋学期,GE10201,哲学,13,2,15.4,2,15.4,0,0.0,3,23.1,6,46.2,4,30.8,
秋学期,GE10632,プログラミング演習I,13,2,15.4,3,23.1,2,15.4,3,23.1,3,23.1,5,38.5,
秋学期,GE10712,プログラミング演習II-1,27,2,7.4,7,25.9,4,14.8,0,0.0,14,51.9,9,33.3,
春学期,GE10732,プログラミング演習II-3,11,0,0.0,2,18.2,3,27.3,5,45.5,1,9.1,2,18.2,
春学期,GE10811,情報数学A,20,1,5.0,8,40.0,6,30.0,3,15.0,2,10.0,9,45.0,
秋学期,GE10911,統計,30,5,16.7,6,20.0,5,16.7,6,20.0,8,26.7,11,36.7,
春学期,GE11012,知識情報演習I-1,62,4,6.5,15,24.2,28,45.2,10,16.1,5,8.1,19,30.6,
春学期,GE11022,知識情報演習I-2,66,5,7.6,15,22.7,38,57.6,3,4.5,5,7.6,20,30.3,
秋学期,GE11112,知識情報演習II-1,57,0,0.0,11,19.3,32,56.1,8,14.0,6,10.5,11,19.3,
秋学期,GE11122,知識情報演習II-2,67,0,0.0,21,31.3,27,40.3,13,19.4,6,9.0,21,31.3,
秋学期,GE11212,知識情報演習III-1,60,1,1.7,7,11.7,21,35.0,23,38.3,8,13.3,8,13.3,
秋学期,GE11222,知識情報演習III-2,70,7,10.0,22,31.4,19,27.1,14,20.0,8,11.4,29,41.4,
秋学期,GE11512,専門英語A,44,12,27.3,10,22.7,12,27.3,6,13.6,4,9.1,22,50.0,
秋学期,GE11522,専門英語A,35,16,45.7,6,17.1,9,25.7,2,5.7,2,5.7,22,62.9,
秋学期,GE11532,専門英語A,21,2,9.5,8,38.1,10,47.6,0,0.0,1,4.8,10,47.6,
秋学期,GE12112,アカデミックスキルズ,27,2,7.4,17,63.0,8,29.6,0,0.0,0,0.0,19,70.4,
秋学期,GE12122,アカデミックスキルズ,26,0,0.0,15,57.7,7,26.9,1,3.8,3,11.5,15,57.7,
秋学期,GE12132,アカデミックスキルズ,26,2,7.7,21,80.8,2,7.7,1,3.8,0,0.0,23,88.5,
秋学期,GE12142,アカデミックスキルズ,27,3,11.1,17,63.0,4,14.8,3,11.1,0,0.0,20,74.1,
秋学期,GE20211,基礎数学A,9,1,11.1,1,11.1,1,11.1,2,22.2,4,44.4,2,22.2,
秋学期,GE20401,量的調査法,44,0,0.0,6,13.6,9,20.5,17,38.6,12,27.3,6,13.6,
秋学期,GE20511,多変量解析,37,1,2.7,7,18.9,11,29.7,5,13.5,13,35.1,8,21.6,
春学期,GE20601,情報探索論,124,33,26.6,49,39.5,19,15.3,11,8.9,12,9.7,82,66.1,
春学期,GE20701,質的調査法,104,5,4.8,36,34.6,38,36.5,10,9.6,15,14.4,41,39.4,
春学期,GE20801,情報行動論,94,3,3.2,29,30.9,32,34.0,12,12.8,18,19.1,32,34.0,
春学期,GE20901,知識発見基礎論,101,8,7.9,32,31.7,27,26.7,19,18.8,15,14.9,40,39.6,
春学期,GE21001,知識資源組織化論,114,14,12.3,26,22.8,37,32.5,25,21.9,12,10.5,40,35.1,
春学期,GE21101,データベース概説,100,4,4.0,16,16.0,19,19.0,39,39.0,22,22.0,20,20.0,
秋学期,GE21201,"コンピュータシステムとネットワーク",103,8,7.8,21,20.4,35,34.0,28,27.2,11,10.7,29,28.2,
秋学期,GE21301,自然言語解析基礎,68,7,10.3,21,30.9,23,33.8,9,13.2,8,11.8,28,41.2,
春学期,GE21401,メディア社会学,130,26,20.0,36,27.7,49,37.7,12,9.2,7,5.4,62,47.7,
秋学期,GE21601,公共経済学,153,18,11.8,35,22.9,53,34.6,21,13.7,26,17.0,53,34.6,
秋学期,GE21701,生涯学習と図書館,110,9,8.2,29,26.4,25,22.7,28,25.5,19,17.3,38,34.5,
秋学期,GE21812,テクスト解釈-1,25,0,0.0,5,20.0,17,68.0,2,8.0,1,4.0,5,20.0,
秋学期,GE21832,テクスト解釈-3,60,4,6.7,19,31.7,29,48.3,5,8.3,3,5.0,23,38.3,
春学期,GE22101,経営・組織論,80,5,6.3,19,23.8,28,35.0,23,28.8,5,6.3,24,30.0,
秋学期,GE22201,機械学習,98,15,15.3,21,21.4,35,35.7,15,15.3,12,12.2,36,36.7,
春学期,GE22301,映像メディア概論,190,13,6.8,87,45.8,68,35.8,13,6.8,9,4.7,100,52.6,
秋学期,GE33023,知的探求の世界I-2,6,1,16.7,1,16.7,0,0.0,0,0.0,4,66.7,2,33.3,
秋学期,GE40201,学習指導と学校図書館,32,1,3.1,15,46.9,9,28.1,0,0.0,7,21.9,16,50.0,
