学期,科目番号,科目名称,履修者数,回答者数,問1,問2,問3,問4,問5,問6,問7,問8,問9,問10,問11,問12,問13,問14,問15,問16,問17
春,1120102,フレッシュマン・セミナー,27,23,3.47,3.43,3.25,3.44,1.00,1.00,1.22,2.55,2.10,3.43,3.32,3.35,3.29,3.11,3.14,3.18,2.89
春,1120202,フレッシュマン・セミナー,26,25,3.52,3.38,3.31,3.40,1.04,1.00,1.32,2.48,1.82,3.38,3.44,3.36,3.36,2.95,3.30,3.43,3.05
春,1120302,フレッシュマン・セミナー,27,26,3.46,3.35,3.26,3.32,1.00,1.00,1.23,2.60,2.04,3.25,3.27,3.33,3.25,3.09,3.29,3.16,2.92
春,1120402,フレッシュマン・セミナー,26,26,3.52,3.60,3.27,3.32,1.00,1.00,1.15,2.21,1.92,3.43,3.54,3.44,3.33,3.33,3.36,3.18,2.74
春,1320013,情報リテラシ実習,28,27,3.60,3.43,3.11,3.15,1.07,1.07,1.48,2.15,2.52,3.28,3.38,3.23,3.26,2.91,3.23,3.15,2.63
秋,1320013,情報リテラシ実習,28,25,3.57,3.48,3.53,3.58,1.08,1.08,1.52,2.64,2.96,3.21,3.16,3.25,3.33,3.38,3.29,3.33,3.04
春,1320023,情報リテラシ実習,26,25,3.68,3.44,2.78,3.20,1.00,1.00,1.12,2.32,2.40,3.26,3.44,3.38,3.38,3.18,3.46,3.08,2.70
秋,1320023,情報リテラシ実習,26,23,3.59,3.52,3.42,3.33,1.00,1.00,1.36,2.35,2.59,3.32,3.50,3.43,3.35,3.18,3.30,3.57,2.86
春,1320033,情報リテラシ実習,27,27,3.77,3.36,3.33,3.18,1.00,1.00,1.19,2.22,2.56,3.31,3.30,3.37,3.00,3.19,3.22,3.11,2.58
秋,1320033,情報リテラシ実習,27,24,3.71,3.67,3.50,3.52,1.00,1.00,1.46,2.46,2.54,3.54,3.58,3.42,3.50,3.35,3.29,3.25,2.96
春,1320043,情報リテラシ実習,26,25,3.72,3.48,3.00,3.33,1.08,1.00,1.08,2.08,2.80,3.35,3.38,3.33,3.32,3.04,3.13,3.16,2.56
秋,1320043,情報リテラシ実習,26,22,3.67,3.57,3.19,3.32,1.00,1.05,1.32,2.41,2.91,3.36,3.41,3.27,3.36,3.33,3.27,3.23,3.00
秋,GA10101,情報社会と法制度,242,177,3.38,3.01,2.84,2.86,1.52,1.11,1.54,2.66,2.14,3.06,2.81,2.95,2.78,2.51,2.70,2.89,2.48
秋,GA10201,知的財産概論,175,136,3.06,2.54,2.61,2.62,1.39,2.09,1.57,2.63,2.57,2.98,2.41,2.45,2.37,2.10,2.57,2.74,2.36
春,GE10101,知識情報概論,125,115,3.14,2.88,2.75,2.78,1.02,1.23,1.33,2.46,2.70,2.93,2.82,2.93,2.79,2.63,2.28,2.86,2.52
秋,GE10201,哲学,116,77,3.59,3.35,3.13,3.29,1.00,1.10,1.45,2.95,2.64,3.39,2.79,3.07,3.12,2.99,2.82,3.08,2.85
春,GE10301,情報基礎,122,107,3.64,3.64,3.49,3.59,1.07,1.08,1.28,2.69,2.44,3.47,3.39,3.50,3.48,3.61,3.23,3.36,3.14
春,GE10413,情報基礎実習-1,61,54,3.70,3.29,3.26,3.46,1.04,1.17,1.25,2.49,3.75,3.39,3.43,3.30,3.43,3.00,3.19,3.45,2.86
