学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_dig,C_per,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,1320013,情報リテラシ実習,107,22.0,20.6,60.0,56.1,19.0,17.8,5.0,4.7,1.0,0.9,82.0,76.6
秋学期,GA10101,情報社会と法制度,180,29.0,16.1,35.0,19.4,40.0,22.2,24.0,13.3,52.0,28.9,64.0,35.6
秋学期,GA10201,知的財産概論,178,5.0,2.8,20.0,11.2,85.0,47.8,47.0,26.4,21.0,11.8,25.0,14.0
春学期,GA40303,ビジネスシステムデザインA,22,1.0,4.5,17.0,77.3,3.0,13.6,1.0,4.5,0.0,0.0,18.0,81.8
秋学期,GA40403,ビジネスシステムデザインB,19,2.0,10.5,13.0,68.4,3.0,15.8,0.0,0.0,1.0,5.3,15.0,78.9
春学期,GE10101,知識情報概論,133,8.0,6.0,29.0,21.8,45.0,33.8,48.0,36.1,3.0,2.3,37.0,27.8
秋学期,GE10201,哲学,128,26.0,20.3,44.0,34.4,31.0,24.2,15.0,11.7,12.0,9.4,70.0,54.7
春学期,GE10301,情報基礎,126,29.0,23.0,42.0,33.3,47.0,37.3,6.0,4.8,2.0,1.6,71.0,56.3
春学期,GE10413,情報基礎実習-1,63,2.0,3.2,25.0,39.7,29.0,46.0,7.0,11.1,0.0,0.0,27.0,42.9
春学期,GE10423,情報基礎実習-2,58,6.0,10.3,25.0,43.1,20.0,34.5,3.0,5.2,4.0,6.9,31.0,53.4
秋学期,GE10612,プログラミング演習I-1,56,6.0,10.7,23.0,41.1,12.0,21.4,14.0,25.0,1.0,1.8,29.0,51.8
秋学期,GE10622,プログラミング演習I-2,57,13.0,22.8,26.0,45.6,9.0,15.8,5.0,8.8,4.0,7.0,39.0,68.4
秋学期,GE10712,プログラミング演習II-1,56,4.0,7.1,10.0,17.9,10.0,17.9,2.0,3.6,30.0,53.6,14.0,25.0
秋学期,GE10722,プログラミング演習II-2,55,2.0,3.6,16.0,29.1,8.0,14.5,7.0,12.7,22.0,40.0,18.0,32.7
春学期,GE10732,プログラミング演習II-3,18,0.0,0.0,2.0,11.1,5.0,27.8,9.0,50.0,2.0,11.1,2.0,11.1
春学期,GE10801,情報数学,110,21.0,19.1,27.0,24.5,44.0,40.0,15.0,13.6,3.0,2.7,48.0,43.6
秋学期,GE10911,統計,122,16.0,13.1,24.0,19.7,41.0,33.6,18.0,14.8,23.0,18.9,40.0,32.8
春学期,GE11012,知識情報演習I-1,67,3.0,4.5,19.0,28.4,31.0,46.3,9.0,13.4,5.0,7.5,22.0,32.8
春学期,GE11022,知識情報演習I-2,64,2.0,3.1,12.0,18.8,44.0,68.8,5.0,7.8,1.0,1.6,14.0,21.9
秋学期,GE11112,知識情報演習II-1,66,0.0,0.0,15.0,22.7,40.0,60.6,8.0,12.1,3.0,4.5,15.0,22.7
秋学期,GE11122,知識情報演習II-2,65,1.0,1.5,13.0,20.0,40.0,61.5,10.0,15.4,1.0,1.5,14.0,21.5
秋学期,GE11212,知識情報演習III-1,72,4.0,5.6,17.0,23.6,35.0,48.6,6.0,8.3,10.0,13.9,21.0,29.2
秋学期,GE11222,知識情報演習III-2,62,3.0,4.8,15.0,24.2,28.0,45.2,12.0,19.4,4.0,6.5,18.0,29.0
秋学期,GE11512,専門英語A-1,37,14.0,37.8,14.0,37.8,6.0,16.2,3.0,8.1,0.0,0.0,28.0,75.7
秋学期,GE11522,専門英語A-2,27,10.0,37.0,12.0,44.4,3.0,11.1,0.0,0.0,2.0,7.4,22.0,81.5
秋学期,GE11532,専門英語A-3,24,8.0,33.3,11.0,45.8,5.0,20.8,0.0,0.0,0.0,0.0,19.0,79.2
秋学期,GE11542,専門英語A-4,22,2.0,9.1,8.0,36.4,12.0,54.5,0.0,0.0,0.0,0.0,10.0,45.5
秋学期,GE20101,情報システム概説,125,7.0,5.6,31.0,24.8,44.0,35.2,28.0,22.4,15.0,12.0,38.0,30.4
秋学期,GE20201,基礎数学A,112,23.0,20.5,19.0,17.0,14.0,12.5,23.0,20.5,33.0,29.5,42.0,37.5
春学期,GE20301,基礎数学B,16,2.0,12.5,1.0,6.3,2.0,12.5,0.0,0.0,11.0,68.8,3.0,18.8
秋学期,GE20401,量的調査法,108,1.0,0.9,3.0,2.8,24.0,22.2,49.0,45.4,31.0,28.7,4.0,3.7
秋学期,GE20511,多変量解析,60,1.0,1.7,18.0,30.0,25.0,41.7,11.0,18.3,5.0,8.3,19.0,31.7
春学期,GE20601,情報探索論,134,20.0,14.9,28.0,20.9,25.0,18.7,37.0,27.6,24.0,17.9,48.0,35.8
秋学期,GE20701,質的調査法,120,3.0,2.5,44.0,36.7,51.0,42.5,17.0,14.2,5.0,4.2,47.0,39.2
秋学期,GE20801,情報行動論,107,10.0,9.3,26.0,24.3,36.0,33.6,16.0,15.0,19.0,17.8,36.0,33.6
春学期,GE20901,知識発見基礎論,112,4.0,3.6,31.0,27.7,45.0,40.2,23.0,20.5,9.0,8.0,35.0,31.3
春学期,GE21001,知識資源組織化論,117,8.0,6.8,31.0,26.5,35.0,29.9,19.0,16.2,24.0,20.5,39.0,33.3
春学期,GE21101,データベース概説,113,14.0,12.4,35.0,31.0,42.0,37.2,19.0,16.8,3.0,2.7,49.0,43.4
秋学期,GE21201,コンピュータシステムとネットワーク,111,3.0,2.7,32.0,28.8,40.0,36.0,24.0,21.6,12.0,10.8,35.0,31.5
春学期,GE21301,自然言語解析基礎,109,3.0,2.8,32.0,29.4,38.0,34.9,33.0,30.3,3.0,2.8,35.0,32.1
春学期,GE21401,メディア社会学,122,20.0,16.4,20.0,16.4,35.0,28.7,42.0,34.4,5.0,4.1,40.0,32.8
秋学期,GE21701,生涯学習と図書館,121,8.0,6.6,28.0,23.1,44.0,36.4,28.0,23.1,13.0,10.7,36.0,29.8
秋学期,GE21812,テクスト解釈-1,25,3.0,12.0,15.0,60.0,6.0,24.0,0.0,0.0,1.0,4.0,18.0,72.0
秋学期,GE21832,テクスト解釈-3,73,3.0,4.1,20.0,27.4,38.0,52.1,7.0,9.6,5.0,6.8,23.0,31.5
春学期,GE22001,図書館概論,119,5.0,4.2,41.0,34.5,54.0,45.4,15.0,12.6,4.0,3.4,46.0,38.7
