学期,科目番号,科目名称,履修者,回答者,問1,問2,問3,問4,問5,問6,問7,問8,問9,問10,問11,問12,問13,問14,問15,問16,問17
春,1120102,フレッシュマン・セミナー,27,26,3.55,3.30,3.00,2.95,,,,2.26,2.00,3.29,3.35,3.24,3.08,2.54,3.14,2.87,2.44
春,1120202,フレッシュマン・セミナー,27,26,3.32,3.38,3.33,3.25,,,,2.56,2.32,3.25,3.35,3.22,3.23,2.83,3.16,3.13,2.73
春,1120302,フレッシュマン・セミナー,27,24,3.38,3.32,3.13,3.45,,,,2.75,1.70,3.18,3.30,3.04,3.32,2.83,3.29,3.26,2.83
春,1120402,フレッシュマン・セミナー,26,25,3.54,3.46,3.33,3.50,,,,2.57,1.96,3.50,3.58,3.29,3.30,2.95,3.46,3.25,2.78
春,1320013,情報リテラシ実習,27,26,3.63,3.35,3.00,3.41,,,,2.16,2.79,3.28,3.35,3.15,3.31,3.08,3.28,3.19,2.63
秋,1320013,情報リテラシ実習,27,25,3.58,3.54,3.07,3.10,,,,2.42,3.04,3.42,3.44,3.32,3.38,2.91,3.13,3.09,2.63
春,1320023,情報リテラシ実習,27,26,3.62,3.48,3.23,3.43,,,,2.50,2.76,3.42,3.69,3.38,3.20,3.29,3.32,3.42,3.12
秋,1320023,情報リテラシ実習,27,26,3.69,3.54,3.61,3.46,,,,2.69,3.04,3.35,3.38,3.31,3.38,3.22,3.19,3.35,2.96
春,1320033,情報リテラシ実習,27,24,3.79,3.74,3.32,3.50,,,,2.33,2.43,3.52,3.58,3.54,3.42,3.33,3.42,3.54,3.00
秋,1320033,情報リテラシ実習,27,25,3.52,3.52,3.46,3.52,,,,3.12,3.16,3.54,3.60,3.52,3.56,3.42,3.56,3.64,3.50
春,1320043,情報リテラシ実習,25,25,3.80,3.64,3.52,3.65,,,,2.72,3.04,3.63,3.67,3.56,3.60,3.56,3.68,3.63,3.13
秋,1320043,情報リテラシ実習,25,24,3.65,3.52,3.42,3.63,,,,2.70,3.17,3.48,3.42,3.46,3.46,3.17,3.43,3.33,3.04
秋,GA10101,情報社会と法制度,248,161,3.23,3.01,2.77,2.89,,,,2.58,2.26,3.20,2.90,2.97,2.85,2.88,2.77,2.91,2.53
秋,GA10201,知的財産概論,170,133,3.40,3.27,3.14,3.25,,,,2.67,2.65,3.12,2.91,3.08,3.06,2.76,2.98,3.00,2.73
春,GE10101,知識情報概論,125,122,3.43,3.28,3.22,3.30,,,,2.72,2.95,3.20,2.73,3.18,2.80,2.81,2.66,3.22,2.88
秋,GE10201,哲学,138,106,3.38,3.27,3.08,3.17,,,,2.76,2.38,3.27,2.77,2.94,3.07,2.89,2.79,3.05,2.72
春,GE10301,情報基礎,117,113,3.63,3.60,3.49,3.51,,,,2.97,2.55,3.40,3.33,3.45,3.39,3.54,3.23,3.45,3.25
春,GE10413,情報基礎実習-1,60,59,3.72,3.47,3.31,3.45,,,,2.86,3.80,3.45,3.14,3.34,3.44,3.15,3.02,3.46,3.02
春,GE10423,情報基礎実習-2,64,58,3.86,3.64,3.45,3.64,,,,2.86,3.86,3.57,3.35,3.51,3.68,3.39,3.33,3.69,3.18
秋,GE10612,プログラミング演習I-1,58,47,3.70,3.42,3.34,3.31,,,,2.85,3.21,3.33,3.37,3.13,3.11,2.78,2.89,3.34,3.07
秋,GE10622,プログラミング演習I-2,60,42,3.76,3.63,3.65,3.64,,,,3.12,3.36,3.54,3.43,3.40,3.40,3.00,3.28,3.74,3.33
秋,GE10712,プログラミング演習II-1,58,44,2.91,2.86,3.03,3.04,,,,2.89,3.55,3.07,2.74,2.76,2.86,2.33,2.56,3.05,2.61
秋,GE10722,プログラミング演習II-2,74,52,3.30,3.19,3.37,3.31,,,,2.94,3.62,3.22,3.15,2.96,3.00,2.47,2.62,3.31,2.92
春,GE10732,プログラミング演習II-3,17,9,3.71,3.63,3.33,3.38,,,,2.56,3.22,3.38,3.22,3.50,3.57,3.11,2.89,3.11,2.56
春,GE10801,情報数学,120,112,2.73,2.38,2.47,2.50,,,,2.45,2.77,2.60,2.69,2.28,2.41,2.04,1.97,2.72,2.23
秋,GE10911,統計,145,112,3.67,3.67,3.50,3.63,,,,2.83,3.22,3.48,3.53,3.54,3.52,3.58,3.23,3.43,3.12
春,GE11012,知識情報演習I-1,71,41,3.63,3.53,3.34,3.42,,,,2.98,2.68,3.34,3.46,3.32,3.32,3.13,2.98,3.29,3.15
春,GE11022,知識情報演習I-2,67,41,3.44,3.36,3.30,3.38,,,,3.07,3.30,3.34,3.29,3.34,3.30,3.48,3.03,3.27,3.08
秋,GE11112,知識情報演習II-1,65,32,3.58,3.56,3.50,3.53,,,,3.00,2.97,3.35,3.47,3.48,3.44,3.17,3.26,3.35,3.28
秋,GE11122,知識情報演習II-2,62,10,3.56,3.40,3.44,3.70,,,,3.10,3.70,3.50,3.20,3.50,3.10,2.89,3.20,3.60,3.22
秋,GE11212,知識情報演習III-1,72,46,3.50,3.32,3.23,3.19,,,,2.89,3.20,3.31,3.27,3.18,3.29,3.12,2.98,3.22,3.05
秋,GE11222,知識情報演習III-2,64,43,3.53,3.38,3.24,3.29,,,,2.77,3.19,3.30,3.16,3.19,3.26,3.15,2.80,3.25,2.82
春,GE11512,専門英語A-1,7,7,3.86,3.57,3.67,3.57,,,,3.14,3.17,3.67,3.71,4.00,3.71,3.80,4.00,3.67,3.50
秋,GE11512,専門英語A-1,7,6,4.00,3.83,4.00,3.83,,,,3.33,3.33,3.67,3.67,3.83,3.67,4.00,4.00,3.67,3.50
春,GE11522,専門英語A-2,49,42,3.66,3.56,3.53,3.48,,,,2.86,2.88,3.22,3.45,3.36,3.38,3.24,3.22,3.31,2.98
秋,GE11522,専門英語A-2,49,37,3.66,3.73,3.53,3.54,,,,3.00,2.95,3.31,3.58,3.47,3.47,3.39,3.38,3.49,3.29
春,GE11532,専門英語A-3,22,18,3.47,3.44,3.33,3.39,,,,3.11,3.17,3.07,3.61,3.22,3.31,3.11,3.28,3.33,3.22
秋,GE11532,専門英語A-3,22,19,3.74,3.68,3.63,3.74,,,,3.21,3.22,3.25,3.72,3.44,3.33,3.44,3.50,3.56,3.44
春,GE11542,専門英語A-4,38,30,3.55,3.38,3.17,3.22,,,,2.87,2.97,3.04,3.28,3.24,3.10,3.13,3.17,3.00,2.86
秋,GE11542,専門英語A-4,38,19,3.50,3.47,3.47,3.50,,,,3.21,3.11,3.26,3.47,3.21,3.41,3.39,3.32,3.47,3.21
秋,GE20101,情報システム概説,105,81,3.37,3.27,3.24,3.16,,,,2.76,2.78,3.12,2.95,2.96,3.09,2.91,2.59,3.01,2.79
秋,GE20201,基礎数学A,128,100,3.58,3.34,3.21,3.47,,,,2.67,2.54,3.37,3.48,3.50,3.45,3.39,3.23,3.07,2.85
春,GE20301,基礎数学B,25,10,3.90,3.86,3.89,3.88,,,,3.60,4.00,3.67,3.40,3.50,3.50,2.89,3.11,3.80,3.50
秋,GE20401,量的調査法,101,83,3.36,3.27,3.30,3.31,,,,2.98,2.92,3.21,3.16,3.07,3.05,3.07,2.91,3.19,3.05
秋,GE20501,多変量解析,43,8,3.00,2.80,2.80,2.75,,,,2.63,1.71,2.00,1.88,2.50,2.80,2.50,2.43,2.75,2.43
秋,GE20511,多変量解析-2,31,23,3.42,3.35,3.32,3.33,,,,3.09,3.00,3.05,3.36,3.22,3.00,3.32,3.21,3.09,3.00
春,GE20601,情報探索論,122,98,3.24,3.04,2.86,2.96,,,,2.78,2.58,2.94,2.72,2.86,2.80,2.55,2.55,2.78,2.46
秋,GE20701,質的調査法,94,70,3.39,2.88,3.27,3.30,,,,3.03,2.69,3.24,3.11,2.57,2.62,2.80,3.00,3.19,3.10
秋,GE20801,情報行動論,96,57,3.60,3.49,3.39,3.47,,,,3.11,3.18,3.26,3.42,3.37,3.37,3.20,3.09,3.21,3.02
春,GE20901,知識発見基礎論,119,83,3.36,3.09,3.23,3.22,,,,2.89,3.08,3.12,2.87,2.86,2.80,2.93,2.90,3.16,2.95
春,GE21001,知識資源組織化論,122,78,3.41,3.40,3.37,3.34,,,,2.92,2.72,3.24,3.22,3.19,3.12,3.03,3.00,3.19,2.99
春,GE21101,データベース概説,108,75,3.63,3.50,3.51,3.60,,,,3.01,2.78,3.31,3.41,3.38,3.44,3.35,3.12,3.43,3.29
秋,GE21201,コンピュータシステムとネットワーク,94,64,3.45,3.36,3.29,3.36,,,,3.05,2.81,3.22,3.31,3.22,3.25,3.07,3.10,3.21,3.05
秋,GE21301,自然言語解析基礎,99,80,3.59,3.42,3.36,3.32,,,,2.92,2.95,3.28,3.31,3.30,3.39,3.00,2.87,3.22,3.03
春,GE21401,メディア社会学,117,87,3.30,3.20,3.26,3.23,,,,2.98,2.57,2.91,2.80,3.10,2.82,3.06,2.94,3.12,3.00
春,GE21501,経営・組織論,111,95,3.86,3.68,3.39,3.45,,,,2.81,3.17,3.47,3.46,3.45,3.39,3.24,3.02,3.33,2.99
春,GE21601,公共経済学,89,79,3.49,3.33,3.36,3.39,,,,3.12,2.63,3.18,3.32,3.16,3.34,3.20,3.17,3.20,3.17
秋,GE21701,生涯学習と図書館,108,86,3.44,3.11,3.27,3.33,,,,2.89,2.89,3.24,3.20,2.75,2.75,2.88,2.87,3.13,2.90
秋,GE21812,テクスト解釈-1,29,24,3.70,3.65,3.52,3.65,,,,2.71,2.39,3.35,3.42,3.58,3.39,3.30,3.38,3.54,3.29
春,GE21822,テクスト解釈-2,30,26,3.37,3.26,3.44,3.47,,,,3.04,3.04,3.10,3.08,3.08,2.91,3.05,3.04,3.12,2.95
秋,GE21832,テクスト解釈-3,41,34,3.53,3.59,3.64,3.55,,,,3.50,2.88,3.38,3.35,3.35,3.39,3.19,3.33,3.32,3.26
春,GE22001,図書館概論,122,100,3.73,3.50,3.47,3.55,,,,3.17,2.41,3.43,3.52,3.44,3.55,3.24,3.22,3.43,3.30
春,GE40201,学習指導と学校図書館,47,38,3.59,3.48,3.39,3.47,,,,2.81,2.30,3.13,2.92,3.11,3.14,2.59,2.91,3.34,3.23
秋,GE40301,学校図書館メディアの構成,23,20,3.63,3.45,3.00,3.20,,,,2.10,2.05,3.50,3.30,3.15,3.05,2.78,3.21,3.00,2.65
春,GE40401,読書と豊かな人間性,110,83,3.42,3.24,3.19,3.24,,,,2.94,2.79,3.22,3.19,3.10,3.17,3.09,3.04,3.08,2.85
秋,GE40501,情報メディアの活用,36,19,3.39,3.11,3.27,3.14,,,,2.89,3.32,3.31,3.16,2.95,2.95,3.00,3.00,3.11,2.79
秋,GE41001,知識情報学特別講義I,50,26,3.68,3.35,3.46,3.50,,,,3.33,2.70,3.36,3.29,3.17,3.28,2.92,3.17,3.32,3.33
